chr	start	end	eigen	domain
chr1	0	99999	0.0112597828699147	closed
chr1	500000	599999	0.137225936043879	closed
chr1	600000	699999	0.160105578476133	closed
chr1	700000	799999	0.184629292593266	closed
chr1	800000	899999	-0.0112774469259553	open
chr1	900000	999999	-0.239669661535671	open
chr1	1000000	1099999	-0.600701181311838	open
chr1	1100000	1199999	-0.898801223392483	open
chr1	1200000	1299999	-1.06885664733442	open
chr1	1300000	1399999	-1.07120874679312	open
chr1	1400000	1499999	-0.95950986296664	open
chr1	1500000	1599999	-0.92483874322536	open
chr1	1600000	1699999	-0.794091501352314	open
chr1	1700000	1799999	-0.777640913664824	open
chr1	1800000	1899999	-0.783822772947336	open
chr1	1900000	1999999	-0.759119607307112	open
chr1	2000000	2099999	-0.837254770158522	open
chr1	2100000	2199999	-0.916014998303982	open
chr1	2200000	2299999	-0.935373238703706	open
chr1	2300000	2399999	-0.918404890154436	open
chr1	2400000	2499999	-0.772710745559545	open
chr1	2500000	2599999	-0.49852454505718	open
chr1	2600000	2699999	-0.158555696251631	open
chr1	2700000	2799999	0.291271637089233	closed
chr1	2800000	2899999	0.66130571542937	closed
chr1	2900000	2999999	0.923477370652078	closed
chr1	3000000	3099999	1.05332037058236	closed
chr1	3100000	3199999	0.900134248763159	closed
chr1	3200000	3299999	0.657840735849895	closed
chr1	3300000	3399999	0.283188014385759	closed
chr1	3400000	3499999	-0.20192527262258	open
chr1	3500000	3599999	-0.498567877405701	open
chr1	3600000	3699999	-0.667665994233901	open
chr1	3700000	3799999	-0.558424913530486	open
chr1	3800000	3899999	-0.152099966315193	open
chr1	4000000	4099999	0.351586457943342	closed
chr1	4100000	4199999	0.832239816511098	closed
chr1	4200000	4299999	1.15347819018965	closed
chr1	4300000	4399999	1.32547463988558	closed
chr1	4400000	4499999	1.34971684004141	closed
chr1	4500000	4599999	1.34049863274686	closed
chr1	4600000	4699999	1.35561508975751	closed
chr1	4700000	4799999	1.31844804053127	closed
chr1	4800000	4899999	1.29164521781581	closed
chr1	4900000	4999999	1.22555092869022	closed
chr1	5000000	5099999	1.05473118559892	closed
chr1	5100000	5199999	0.884521541765494	closed
chr1	5200000	5299999	0.610475271966465	closed
chr1	5300000	5399999	0.374386632671572	closed
chr1	5400000	5499999	0.223912097913682	closed
chr1	5500000	5599999	0.134360151763088	closed
chr1	5600000	5699999	0.235757202052549	closed
chr1	5700000	5799999	0.264828079563772	closed
chr1	5800000	5899999	0.319472762709234	closed
chr1	5900000	5999999	0.335808607411061	closed
chr1	6000000	6099999	0.170204695778524	closed
chr1	6100000	6199999	0.0388632177493195	closed
chr1	6200000	6299999	-0.153482376141903	open
chr1	6300000	6399999	-0.411878224626835	open
chr1	6400000	6499999	-0.655205463309388	open
chr1	6500000	6599999	-0.782988576192394	open
chr1	6600000	6699999	-0.844162689980422	open
chr1	6700000	6799999	-0.853028358605169	open
chr1	6800000	6899999	-0.611095610091621	open
chr1	6900000	6999999	-0.366460940305807	open
chr1	7000000	7099999	-0.0964731001002851	open
chr1	7100000	7199999	0.273874550120002	closed
chr1	7200000	7299999	0.419908682304791	closed
chr1	7300000	7399999	0.420412293190233	closed
chr1	7400000	7499999	0.365232716499363	closed
chr1	7500000	7599999	0.263061700546982	closed
chr1	7600000	7699999	0.211232198193656	closed
chr1	7700000	7799999	0.218909981212992	closed
chr1	7800000	7899999	0.157161988941353	closed
chr1	7900000	7999999	-0.0396055760196061	open
chr1	8000000	8099999	-0.293071947392079	open
chr1	8100000	8199999	-0.59195230683044	open
chr1	8200000	8299999	-0.824721108208555	open
chr1	8300000	8399999	-0.938453881487999	open
chr1	8400000	8499999	-0.984943208147133	open
chr1	8500000	8599999	-0.962604988941396	open
chr1	8600000	8699999	-0.891512185211883	open
chr1	8700000	8799999	-0.845455296237237	open
chr1	8800000	8899999	-0.758400045897083	open
chr1	8900000	8999999	-0.683809236781862	open
chr1	9000000	9099999	-0.696397058609512	open
chr1	9100000	9199999	-0.692624897193646	open
chr1	9200000	9299999	-0.769346270740282	open
chr1	9300000	9399999	-0.834959416573696	open
chr1	9400000	9499999	-0.853746323665361	open
chr1	9500000	9599999	-0.83874068503613	open
chr1	9600000	9699999	-0.83427342765794	open
chr1	9700000	9799999	-0.893562596595616	open
chr1	9800000	9899999	-0.915636339491061	open
chr1	9900000	9999999	-1.00240264946095	open
chr1	10000000	10099999	-1.04065689464384	open
chr1	10100000	10199999	-0.988532426850824	open
chr1	10200000	10299999	-0.996545021274134	open
chr1	10300000	10399999	-0.976015154184745	open
chr1	10400000	10499999	-0.946524640739736	open
chr1	10500000	10599999	-0.97324063785589	open
chr1	10600000	10699999	-0.964534314354205	open
chr1	10700000	10799999	-0.985924121480012	open
chr1	10800000	10899999	-1.01489884275262	open
chr1	10900000	10999999	-1.00434885983698	open
chr1	11000000	11099999	-1.01298826590565	open
chr1	11100000	11199999	-0.948362486739904	open
chr1	11200000	11299999	-0.836732181706961	open
chr1	11300000	11399999	-0.712781716384204	open
chr1	11400000	11499999	-0.515643465541252	open
chr1	11500000	11599999	-0.381957193943302	open
chr1	11600000	11699999	-0.355467527128694	open
chr1	11700000	11799999	-0.428593609094217	open
chr1	11800000	11899999	-0.650918388221385	open
chr1	11900000	11999999	-0.781563122321235	open
chr1	12000000	12099999	-0.835038881605696	open
chr1	12100000	12199999	-0.869943437935552	open
chr1	12200000	12299999	-0.792734361476372	open
chr1	12300000	12399999	-0.849201992543076	open
chr1	12400000	12499999	-0.923670781307425	open
chr1	12500000	12599999	-0.784802176662528	open
chr1	12600000	12699999	-0.503203199928475	open
chr1	12700000	12799999	0.0133578603656133	closed
chr1	12800000	12899999	0.652043390471998	closed
chr1	12900000	12999999	1.14568107065194	closed
chr1	13000000	13099999	1.48529805069588	closed
chr1	13100000	13199999	1.63182945869276	closed
chr1	13400000	13499999	1.65429489093825	closed
chr1	13500000	13599999	1.61855495140468	closed
chr1	13700000	13799999	1.46211244574886	closed
chr1	13800000	13899999	1.20333532792858	closed
chr1	13900000	13999999	0.813075693240942	closed
chr1	14000000	14099999	0.354515698842604	closed
chr1	14100000	14199999	-0.080640725516026	open
chr1	14200000	14299999	-0.428315952906265	open
chr1	14300000	14399999	-0.688477234725407	open
chr1	14400000	14499999	-0.876133473996981	open
chr1	14500000	14599999	-0.945562143338662	open
chr1	14600000	14699999	-0.974629118580623	open
chr1	14700000	14799999	-0.904792512253977	open
chr1	14800000	14899999	-0.778783493798367	open
chr1	14900000	14999999	-0.719630972603173	open
chr1	15000000	15099999	-0.686008335035051	open
chr1	15100000	15199999	-0.793738973448805	open
chr1	15200000	15299999	-0.92319902663621	open
chr1	15300000	15399999	-1.03455340882709	open
chr1	15400000	15499999	-1.11920212487962	open
chr1	15500000	15599999	-1.07723725234187	open
chr1	15600000	15699999	-1.06971538235387	open
chr1	15700000	15799999	-1.03196194284773	open
chr1	15800000	15899999	-1.00925538511988	open
chr1	15900000	15999999	-1.01646830634581	open
chr1	16000000	16099999	-0.987883589207992	open
chr1	16100000	16199999	-0.979090554724596	open
chr1	16200000	16299999	-0.935355749077762	open
chr1	16300000	16399999	-0.907392352758922	open
chr1	16400000	16499999	-0.874716235772793	open
chr1	16500000	16599999	-0.861598074507171	open
chr1	16600000	16699999	-0.906983969616704	open
chr1	16700000	16799999	-0.969390261763437	open
chr1	16800000	16899999	-1.03278185976768	open
chr1	16900000	16999999	-1.10588270224748	open
chr1	17000000	17099999	-1.13051854883416	open
chr1	17200000	17299999	-1.12231488143633	open
chr1	17300000	17399999	-1.07711927140767	open
chr1	17400000	17499999	-0.943229539625271	open
chr1	17500000	17599999	-0.833884318123685	open
chr1	17600000	17699999	-0.737278165738435	open
chr1	17700000	17799999	-0.784828862157645	open
chr1	17800000	17899999	-0.870102682008943	open
chr1	17900000	17999999	-0.820078835008831	open
chr1	18000000	18099999	-0.738657357621106	open
chr1	18100000	18199999	-0.428837374440527	open
chr1	18200000	18299999	-0.113858628771761	open
chr1	18300000	18399999	-0.0406602297564226	open
chr1	18400000	18499999	-0.0642961258745235	open
chr1	18500000	18599999	-0.310094863628666	open
chr1	18600000	18699999	-0.673671752044703	open
chr1	18700000	18799999	-0.92031531327542	open
chr1	18800000	18899999	-1.05975940002405	open
chr1	18900000	18999999	-1.0456976998447	open
chr1	19000000	19099999	-0.92253979353225	open
chr1	19100000	19199999	-0.792203075842241	open
chr1	19200000	19299999	-0.772584343191979	open
chr1	19300000	19399999	-0.878010553576324	open
chr1	19400000	19499999	-1.04122405594321	open
chr1	19500000	19599999	-1.23929083808526	open
chr1	19600000	19699999	-1.36796681319343	open
chr1	19700000	19799999	-1.41622884317501	open
chr1	19800000	19899999	-1.40497377785161	open
chr1	19900000	19999999	-1.31436003444953	open
chr1	20000000	20099999	-1.09595919351529	open
chr1	20100000	20199999	-0.840842763077253	open
chr1	20200000	20299999	-0.553990706571609	open
chr1	20300000	20399999	-0.337702138875184	open
chr1	20400000	20499999	-0.305348942072021	open
chr1	20500000	20599999	-0.362360589293598	open
chr1	20600000	20699999	-0.494765189659422	open
chr1	20700000	20799999	-0.615315127512976	open
chr1	20800000	20899999	-0.700807104063576	open
chr1	20900000	20999999	-0.727081782716487	open
chr1	21000000	21099999	-0.723987366230663	open
chr1	21100000	21199999	-0.717483640589742	open
chr1	21200000	21299999	-0.725416283566557	open
chr1	21300000	21399999	-0.870898090938326	open
chr1	21400000	21499999	-1.02895789238223	open
chr1	21500000	21599999	-1.2581633231634	open
chr1	21600000	21699999	-1.40748958446945	open
chr1	21700000	21799999	-1.42618744668487	open
chr1	21800000	21899999	-1.43312048881618	open
chr1	21900000	21999999	-1.36158870190468	open
chr1	22000000	22099999	-1.37686148741792	open
chr1	22100000	22199999	-1.34663544449058	open
chr1	22200000	22299999	-1.32084142022907	open
chr1	22300000	22399999	-1.20707742440463	open
chr1	22400000	22499999	-0.989760905568817	open
chr1	22500000	22599999	-0.760828042858782	open
chr1	22600000	22699999	-0.53183424906256	open
chr1	22700000	22799999	-0.388122020754908	open
chr1	22800000	22899999	-0.293391882037732	open
chr1	22900000	22999999	-0.314312277712654	open
chr1	23000000	23099999	-0.272321680191843	open
chr1	23100000	23199999	-0.275925291004122	open
chr1	23200000	23299999	-0.363501962827726	open
chr1	23300000	23399999	-0.393187995596651	open
chr1	23400000	23499999	-0.568478247820936	open
chr1	23500000	23599999	-0.745429377080387	open
chr1	23600000	23699999	-0.795548922341257	open
chr1	23700000	23799999	-0.875921172770271	open
chr1	23800000	23899999	-0.880825752374924	open
chr1	23900000	23999999	-0.803460776415145	open
chr1	24000000	24099999	-0.77883721987033	open
chr1	24100000	24199999	-0.731445876861005	open
chr1	24200000	24299999	-0.626869318841737	open
chr1	24300000	24399999	-0.559287941903125	open
chr1	24400000	24499999	-0.528579799861693	open
chr1	24500000	24599999	-0.539318029496924	open
chr1	24600000	24699999	-0.618000175711404	open
chr1	24700000	24799999	-0.682413379129399	open
chr1	24800000	24899999	-0.686626948474067	open
chr1	24900000	24999999	-0.649098941939505	open
chr1	25000000	25099999	-0.550410178988984	open
chr1	25100000	25199999	-0.47772369290958	open
chr1	25200000	25299999	-0.35962408150016	open
chr1	25300000	25399999	-0.263150295412897	open
chr1	25400000	25499999	-0.252361431244106	open
chr1	25500000	25599999	-0.240220744920347	open
chr1	25600000	25699999	-0.404675532958998	open
chr1	25700000	25799999	-0.537077950564452	open
chr1	25800000	25899999	-0.622308284291764	open
chr1	25900000	25999999	-0.727311947257903	open
chr1	26000000	26099999	-0.753302983010423	open
chr1	26100000	26199999	-0.842772134848757	open
chr1	26200000	26299999	-0.917820723206175	open
chr1	26300000	26399999	-0.951804291589751	open
chr1	26400000	26499999	-0.936721835005759	open
chr1	26500000	26599999	-0.775831426945225	open
chr1	26600000	26699999	-0.710017248663171	open
chr1	26700000	26799999	-0.610665893524536	open
chr1	26800000	26899999	-0.54574226894768	open
chr1	26900000	26999999	-0.672275129015455	open
chr1	27000000	27099999	-0.661389105178036	open
chr1	27100000	27199999	-0.768776985562289	open
chr1	27200000	27299999	-0.883664648344213	open
chr1	27300000	27399999	-0.890070076149871	open
chr1	27400000	27499999	-0.964393269578806	open
chr1	27500000	27599999	-0.984858078567232	open
chr1	27600000	27699999	-0.959813598568928	open
chr1	27700000	27799999	-0.981120472798215	open
chr1	27800000	27899999	-0.965121776115257	open
chr1	27900000	27999999	-0.925644501893501	open
chr1	28000000	28099999	-0.907549302123445	open
chr1	28100000	28199999	-0.824172075791606	open
chr1	28200000	28299999	-0.752114219529409	open
chr1	28300000	28399999	-0.692133561047813	open
chr1	28400000	28499999	-0.62465544713028	open
chr1	28500000	28599999	-0.588562390624207	open
chr1	28600000	28699999	-0.644411354265089	open
chr1	28700000	28799999	-0.690432224232782	open
chr1	28800000	28899999	-0.766200160200364	open
chr1	28900000	28999999	-0.903742557622299	open
chr1	29000000	29099999	-0.943177529424747	open
chr1	29200000	29299999	-1.01785571336578	open
chr1	29300000	29399999	-1.05111374737446	open
chr1	29400000	29499999	-0.995532660445146	open
chr1	29500000	29599999	-0.880384580800135	open
chr1	29600000	29699999	-0.575110069191953	open
chr1	29700000	29799999	-0.173084058985096	open
chr1	29800000	29899999	0.244413766762236	closed
chr1	30000000	30099999	0.61439693760206	closed
chr1	30100000	30199999	0.735101292893643	closed
chr1	30200000	30299999	0.652191718932205	closed
chr1	30300000	30399999	0.474380969878722	closed
chr1	30400000	30499999	0.217361683237534	closed
chr1	30500000	30599999	0.00601274373674008	closed
chr1	30700000	30799999	-0.153875008875491	open
chr1	30800000	30899999	-0.343300862387628	open
chr1	30900000	30999999	-0.513148545699644	open
chr1	31000000	31099999	-0.651851605877374	open
chr1	31100000	31199999	-0.794969128244042	open
chr1	31200000	31299999	-0.83529734600676	open
chr1	31300000	31399999	-0.902657632548126	open
chr1	31400000	31499999	-0.949583691693217	open
chr1	31500000	31599999	-0.920072468146945	open
chr1	31600000	31699999	-0.938609837929937	open
chr1	31700000	31799999	-0.920748622523579	open
chr1	31800000	31899999	-0.969009419381541	open
chr1	31900000	31999999	-1.091339788388	open
chr1	32000000	32099999	-1.12165400769705	open
chr1	32100000	32199999	-1.08730291804941	open
chr1	32200000	32299999	-0.927618244412653	open
chr1	32300000	32399999	-0.742746294880353	open
chr1	32400000	32499999	-0.673934819593602	open
chr1	32500000	32599999	-0.655664184118538	open
chr1	32600000	32699999	-0.809755552685997	open
chr1	32700000	32799999	-0.935865862216252	open
chr1	32800000	32899999	-0.978210715367422	open
chr1	32900000	32999999	-1.06476635459943	open
chr1	33000000	33099999	-0.970543723770371	open
chr1	33100000	33199999	-0.911968668413723	open
chr1	33200000	33299999	-0.878078215694715	open
chr1	33300000	33399999	-0.795315320925457	open
chr1	33400000	33499999	-0.776679931362966	open
chr1	33500000	33599999	-0.794780747560826	open
chr1	33600000	33699999	-0.845570895466087	open
chr1	33700000	33799999	-0.868593237757804	open
chr1	33800000	33899999	-0.787843798886809	open
chr1	33900000	33999999	-0.497164140110012	open
chr1	34000000	34099999	-0.216599677976777	open
chr1	34100000	34199999	0.127902634159572	closed
chr1	34200000	34299999	0.324453324524556	closed
chr1	34300000	34399999	0.403737772398129	closed
chr1	34400000	34499999	0.710544147388609	closed
chr1	34500000	34599999	0.922078204158547	closed
chr1	34600000	34699999	1.18779863987215	closed
chr1	34900000	34999999	1.28810686899322	closed
chr1	35100000	35199999	1.08202959854814	closed
chr1	35200000	35299999	0.806174042729803	closed
chr1	35300000	35399999	0.384397817977372	closed
chr1	35400000	35499999	0.0443221133255777	closed
chr1	35500000	35599999	-0.250062866928536	open
chr1	35600000	35699999	-0.555188145823334	open
chr1	35700000	35799999	-0.747467286515916	open
chr1	35800000	35899999	-0.882334837300403	open
chr1	35900000	35999999	-0.905229706389917	open
chr1	36000000	36099999	-0.772018091254047	open
chr1	36100000	36199999	-0.616022116482816	open
chr1	36200000	36299999	-0.465311508788193	open
chr1	36300000	36399999	-0.423137282606308	open
chr1	36400000	36499999	-0.539759615219681	open
chr1	36500000	36599999	-0.648468395335607	open
chr1	36600000	36699999	-0.8101111131766	open
chr1	36700000	36799999	-0.936218621086623	open
chr1	36800000	36899999	-0.928757977683657	open
chr1	36900000	36999999	-0.915474852708919	open
chr1	37000000	37099999	-0.776768453745413	open
chr1	37100000	37199999	-0.544049805473455	open
chr1	37200000	37299999	-0.367286949578175	open
chr1	37300000	37399999	-0.208212108575551	open
chr1	37400000	37499999	-0.104233759346347	open
chr1	37500000	37599999	-0.0648224379736477	open
chr1	37700000	37799999	-0.0673050022188835	open
chr1	37800000	37899999	-0.150196053228945	open
chr1	37900000	37999999	-0.30617528259326	open
chr1	38000000	38099999	-0.529885602876295	open
chr1	38100000	38199999	-0.662205518674307	open
chr1	38200000	38299999	-0.773303204817331	open
chr1	38300000	38399999	-0.799933638846287	open
chr1	38400000	38499999	-0.686372005918837	open
chr1	38500000	38599999	-0.60930991974225	open
chr1	38600000	38699999	-0.315586923498624	open
chr1	38700000	38799999	-0.0270985758147719	open
chr1	38800000	38899999	0.133501955515385	closed
chr1	38900000	38999999	0.371056373732166	closed
chr1	39000000	39099999	0.385626588668754	closed
chr1	39100000	39199999	0.294849586157998	closed
chr1	39200000	39299999	0.225028652751389	closed
chr1	39300000	39399999	-0.0774808185079602	open
chr1	39400000	39499999	-0.374824063676392	open
chr1	39500000	39599999	-0.616383034802097	open
chr1	39600000	39699999	-0.865334928491741	open
chr1	39700000	39799999	-0.976239563792714	open
chr1	39800000	39899999	-1.05819981514942	open
chr1	39900000	39999999	-1.08548889636683	open
chr1	40000000	40099999	-1.02492716458013	open
chr1	40100000	40199999	-0.972924213498824	open
chr1	40200000	40299999	-0.853317252886556	open
chr1	40300000	40399999	-0.832152569491735	open
chr1	40400000	40499999	-0.877291130672165	open
chr1	40500000	40599999	-0.829313174339232	open
chr1	40600000	40699999	-0.826068160916165	open
chr1	40700000	40799999	-0.718288156008141	open
chr1	40800000	40899999	-0.5787897139111	open
chr1	40900000	40999999	-0.573066562304171	open
chr1	41000000	41099999	-0.616267559816058	open
chr1	41100000	41199999	-0.721029103172225	open
chr1	41200000	41299999	-0.855188756381401	open
chr1	41300000	41399999	-0.923829520503781	open
chr1	41400000	41499999	-0.932972846070617	open
chr1	41500000	41599999	-0.971807199255428	open
chr1	41600000	41699999	-0.963896497490323	open
chr1	41700000	41799999	-0.959865374790784	open
chr1	41800000	41899999	-0.937132173799869	open
chr1	41900000	41999999	-0.829141706212533	open
chr1	42000000	42099999	-0.813858986294064	open
chr1	42100000	42199999	-0.75101950084107	open
chr1	42200000	42299999	-0.712599268890117	open
chr1	42300000	42399999	-0.659686663404736	open
chr1	42400000	42499999	-0.513754043287805	open
chr1	42500000	42599999	-0.447919024712371	open
chr1	42600000	42699999	-0.368675724112605	open
chr1	42700000	42799999	-0.374298087981467	open
chr1	42800000	42899999	-0.428522830091225	open
chr1	42900000	42999999	-0.454554173036199	open
chr1	43000000	43099999	-0.531976577841965	open
chr1	43100000	43199999	-0.598853804415521	open
chr1	43200000	43299999	-0.647477943713681	open
chr1	43300000	43399999	-0.695329307691799	open
chr1	43400000	43499999	-0.730340888785602	open
chr1	43500000	43599999	-0.715042648308721	open
chr1	43600000	43699999	-0.731757102339071	open
chr1	43700000	43799999	-0.760451372562634	open
chr1	43800000	43899999	-0.805479182111745	open
chr1	43900000	43999999	-0.919239946363765	open
chr1	44000000	44099999	-0.973895256157234	open
chr1	44100000	44199999	-1.02334915467304	open
chr1	44200000	44299999	-1.02785941819534	open
chr1	44300000	44399999	-0.923655761694671	open
chr1	44400000	44499999	-0.883534320623598	open
chr1	44500000	44599999	-0.866448888126861	open
chr1	44600000	44699999	-0.792213048540583	open
chr1	44700000	44799999	-0.698543516142063	open
chr1	44800000	44899999	-0.444246218221338	open
chr1	44900000	44999999	-0.144917587984037	open
chr1	45000000	45099999	0.04018280697592	closed
chr1	45100000	45199999	-0.0148624370976689	open
chr1	45200000	45299999	-0.324943244073844	open
chr1	45300000	45399999	-0.56928885464999	open
chr1	45400000	45499999	-0.59975123914367	open
chr1	45500000	45599999	-0.435568536968621	open
chr1	45700000	45799999	-0.130328304805535	open
chr1	45800000	45899999	0.0596964830276796	closed
chr1	45900000	45999999	-0.0644661460448403	open
chr1	46000000	46099999	-0.336773737642701	open
chr1	46100000	46199999	-0.581734069027475	open
chr1	46300000	46399999	-0.856177809127521	open
chr1	46400000	46499999	-0.978996518478128	open
chr1	46500000	46599999	-0.946539884292284	open
chr1	46600000	46699999	-1.01841927321871	open
chr1	46700000	46799999	-0.989058731395916	open
chr1	46800000	46899999	-0.947213937918291	open
chr1	46900000	46999999	-0.94359974935596	open
chr1	47000000	47099999	-0.838586458199969	open
chr1	47100000	47199999	-0.68798325229666	open
chr1	47200000	47299999	-0.59275869905245	open
chr1	47300000	47399999	-0.456454278578975	open
chr1	47400000	47499999	-0.371510396667896	open
chr1	47500000	47599999	-0.472314522863104	open
chr1	47600000	47699999	-0.580623607317028	open
chr1	47800000	47899999	-0.765054382296919	open
chr1	47900000	47999999	-0.887724607801071	open
chr1	48000000	48099999	-0.918807016482109	open
chr1	48100000	48199999	-0.822097781827298	open
chr1	48200000	48299999	-0.676469337331121	open
chr1	48300000	48399999	-0.595461402676889	open
chr1	48400000	48499999	-0.417972648998395	open
chr1	48500000	48599999	-0.282716473734702	open
chr1	48600000	48699999	-0.167268477386348	open
chr1	48700000	48799999	-0.0813546240751506	open
chr1	48900000	48999999	-0.0995600107270967	open
chr1	49000000	49099999	-0.194669568056989	open
chr1	49100000	49199999	-0.318724053437953	open
chr1	49200000	49299999	-0.399857685662902	open
chr1	49300000	49399999	-0.340842693809657	open
chr1	49500000	49599999	-0.185090443665034	open
chr1	49700000	49799999	-0.0081694621206421	open
chr1	50000000	50099999	0.212939931427569	closed
chr1	50500000	50599999	0.234691841573043	closed
chr1	50600000	50699999	0.0708576623338356	closed
chr1	50700000	50799999	-0.185151003130629	open
chr1	50800000	50899999	-0.449939315703553	open
chr1	50900000	50999999	-0.725586663026986	open
chr1	51000000	51099999	-0.851622295161153	open
chr1	51100000	51199999	-0.844063325924954	open
chr1	51200000	51299999	-0.950671543874337	open
chr1	51300000	51399999	-0.863919544298664	open
chr1	51400000	51499999	-0.698855451586266	open
chr1	51500000	51599999	-0.523089822124071	open
chr1	51600000	51699999	-0.268170534783548	open
chr1	51700000	51799999	-0.312111549040713	open
chr1	51800000	51899999	-0.547916355581714	open
chr1	51900000	51999999	-0.822426537202736	open
chr1	52000000	52099999	-1.09825496503044	open
chr1	52100000	52199999	-1.04973829513368	open
chr1	52200000	52299999	-0.829170733737173	open
chr1	52300000	52399999	-0.646420954227812	open
chr1	52400000	52499999	-0.381958693960256	open
chr1	52500000	52599999	-0.245369646088926	open
chr1	52600000	52699999	-0.280533716464298	open
chr1	52700000	52799999	-0.147111390269425	open
chr1	52800000	52899999	-0.12401876088178	open
chr1	53000000	53099999	-0.171413457447938	open
chr1	53100000	53199999	-0.0960490747639991	open
chr1	53200000	53299999	-0.307787136742918	open
chr1	53300000	53399999	-0.469032797754569	open
chr1	53400000	53499999	-0.451804861474572	open
chr1	53500000	53599999	-0.463018799431797	open
chr1	53600000	53699999	-0.212502292105517	open
chr1	53700000	53799999	0.0452705946004129	closed
chr1	53800000	53899999	0.140181198638681	closed
chr1	53900000	53999999	0.311638334551612	closed
chr1	54000000	54099999	0.267941284331177	closed
chr1	54100000	54199999	0.182129487161443	closed
chr1	54200000	54299999	0.149018364755937	closed
chr1	54300000	54399999	-0.134624632389265	open
chr1	54400000	54499999	-0.326831796416857	open
chr1	54500000	54599999	-0.587455355345543	open
chr1	54600000	54699999	-0.898145152779897	open
chr1	54700000	54799999	-0.968634130296361	open
chr1	54800000	54899999	-1.00183935600018	open
chr1	54900000	54999999	-0.830908626730003	open
chr1	55000000	55099999	-0.615082262119415	open
chr1	55100000	55199999	-0.485693717655145	open
chr1	55200000	55299999	-0.407944344929144	open
chr1	55300000	55399999	-0.575692430220362	open
chr1	55400000	55499999	-0.74100115702092	open
chr1	55500000	55599999	-0.859680755356608	open
chr1	55600000	55699999	-0.880301577588396	open
chr1	55700000	55799999	-0.667248437818948	open
chr1	55800000	55899999	-0.370252387711515	open
chr1	55900000	55999999	-0.0709592214833994	open
chr1	56000000	56099999	0.127427032079792	closed
chr1	56100000	56199999	0.219376629367683	closed
chr1	56200000	56299999	0.222360941562503	closed
chr1	56300000	56399999	0.225943795600562	closed
chr1	56400000	56499999	0.258164154622878	closed
chr1	56500000	56599999	0.315195880311177	closed
chr1	56600000	56699999	0.374992678107031	closed
chr1	56700000	56799999	0.326913658809249	closed
chr1	56800000	56899999	0.207679439689908	closed
chr1	56900000	56999999	-0.0278603212070902	open
chr1	57000000	57099999	-0.267860237574483	open
chr1	57100000	57199999	-0.366364894407397	open
chr1	57200000	57299999	-0.352821360973299	open
chr1	57300000	57399999	-0.231719711722157	open
chr1	57400000	57499999	-0.0909960302225889	open
chr1	57500000	57599999	-0.00999087302284292	open
chr1	57600000	57699999	0.0704296728552765	closed
