chr	start	end	eigen	domain
chr1	0	99999	-0.626025402004177	open
chr1	500000	599999	-0.448558697994734	open
chr1	600000	699999	-0.317063576958963	open
chr1	700000	799999	-0.0518659472420911	open
chr1	800000	899999	0.0711965336724111	closed
chr1	900000	999999	0.098443079780858	closed
chr1	1000000	1099999	-0.051011778069161	open
chr1	1100000	1199999	-0.318273718360445	open
chr1	1200000	1299999	-0.53951736779136	open
chr1	1300000	1399999	-0.585600098287715	open
chr1	1400000	1499999	-0.608300712440634	open
chr1	1500000	1599999	-0.652241091657873	open
chr1	1600000	1699999	-0.554125515284072	open
chr1	1700000	1799999	-0.583496631295443	open
chr1	1800000	1899999	-0.581320845104838	open
chr1	1900000	1999999	-0.540354016459809	open
chr1	2000000	2099999	-0.657354739510936	open
chr1	2100000	2199999	-0.764179878310102	open
chr1	2200000	2299999	-0.750927056864599	open
chr1	2300000	2399999	-0.626838790018643	open
chr1	2400000	2499999	-0.348600097483348	open
chr1	2500000	2599999	0.0401298893040565	closed
chr1	2600000	2699999	0.418334422500161	closed
chr1	2700000	2799999	0.784113855582464	closed
chr1	2800000	2899999	1.04873531864794	closed
chr1	2900000	2999999	1.21004094965104	closed
chr1	3000000	3099999	1.25172046776121	closed
chr1	3100000	3199999	1.02692470756923	closed
chr1	3200000	3299999	0.787401587043324	closed
chr1	3300000	3399999	0.500303819184743	closed
chr1	3400000	3499999	0.210218780442588	closed
chr1	3500000	3599999	0.177471191452272	closed
chr1	3600000	3699999	0.165272914547022	closed
chr1	3700000	3799999	0.274647007551025	closed
chr1	3800000	3899999	0.512030083037527	closed
chr1	4000000	4099999	0.768759154001195	closed
chr1	4100000	4199999	1.02692885101154	closed
chr1	4200000	4299999	1.20617165054619	closed
chr1	4300000	4399999	1.27852242614325	closed
chr1	4400000	4499999	1.25104998169629	closed
chr1	4500000	4599999	1.25568349127932	closed
chr1	4600000	4699999	1.28717966374686	closed
chr1	4700000	4799999	1.33404748436814	closed
chr1	4800000	4899999	1.34720190986323	closed
chr1	4900000	4999999	1.32764054038702	closed
chr1	5000000	5099999	1.23803419183578	closed
chr1	5100000	5199999	1.15738588089622	closed
chr1	5200000	5299999	1.08284224019484	closed
chr1	5300000	5399999	1.00463424088888	closed
chr1	5400000	5499999	1.02790689970128	closed
chr1	5500000	5599999	1.03195158168716	closed
chr1	5600000	5699999	1.11503587045659	closed
chr1	5700000	5799999	1.0930707545508	closed
chr1	5800000	5899999	0.945760879592688	closed
chr1	5900000	5999999	0.784552699816625	closed
chr1	6000000	6099999	0.507634172349446	closed
chr1	6100000	6199999	0.292890222673686	closed
chr1	6200000	6299999	0.151404931498735	closed
chr1	6300000	6399999	-0.0261309482973144	open
chr1	6400000	6499999	-0.235084408699101	open
chr1	6500000	6599999	-0.330353312021423	open
chr1	6600000	6699999	-0.407166569473382	open
chr1	6700000	6799999	-0.42153368178823	open
chr1	6800000	6899999	-0.163285277302704	open
chr1	6900000	6999999	0.105958927094137	closed
chr1	7000000	7099999	0.463403532882875	closed
chr1	7100000	7199999	0.897575243190948	closed
chr1	7200000	7299999	1.14851844962398	closed
chr1	7300000	7399999	1.32046730488942	closed
chr1	7400000	7499999	1.38611564205438	closed
chr1	7500000	7599999	1.34986890321902	closed
chr1	7600000	7699999	1.26051232686564	closed
chr1	7700000	7799999	1.14430406413349	closed
chr1	7800000	7899999	0.898110697517403	closed
chr1	7900000	7999999	0.616636877300575	closed
chr1	8000000	8099999	0.364509302896587	closed
chr1	8100000	8199999	0.0930364149404049	closed
chr1	8200000	8299999	-0.0636929679897542	open
chr1	8300000	8399999	-0.235045952898513	open
chr1	8400000	8499999	-0.442824004289498	open
chr1	8500000	8599999	-0.693009514801227	open
chr1	8600000	8699999	-0.880400978157074	open
chr1	8700000	8799999	-0.998892320399572	open
chr1	8800000	8899999	-0.954072359881167	open
chr1	8900000	8999999	-0.800728114319824	open
chr1	9000000	9099999	-0.753755434575293	open
chr1	9100000	9199999	-0.690889184676561	open
chr1	9200000	9299999	-0.7970394427222	open
chr1	9300000	9399999	-0.894486947559503	open
chr1	9400000	9499999	-0.893777277772812	open
chr1	9500000	9599999	-0.829748973506726	open
chr1	9600000	9699999	-0.698331857788044	open
chr1	9700000	9799999	-0.673880617844213	open
chr1	9800000	9899999	-0.671273092095734	open
chr1	9900000	9999999	-0.82093376757472	open
chr1	10000000	10099999	-0.994003765075702	open
chr1	10100000	10199999	-1.03907443758979	open
chr1	10200000	10299999	-1.08102811113585	open
chr1	10300000	10399999	-1.0312575686693	open
chr1	10400000	10499999	-0.940247216378241	open
chr1	10500000	10599999	-0.956506700762839	open
chr1	10600000	10699999	-1.00589179814503	open
chr1	10700000	10799999	-1.08150634896839	open
chr1	10800000	10899999	-1.09709830087555	open
chr1	10900000	10999999	-0.957371030280797	open
chr1	11000000	11099999	-0.800816874169945	open
chr1	11100000	11199999	-0.580365735349154	open
chr1	11200000	11299999	-0.342103942872984	open
chr1	11300000	11399999	-0.102802129508417	open
chr1	11400000	11499999	0.261534181445146	closed
chr1	11500000	11599999	0.58975196516348	closed
chr1	11600000	11699999	0.731475316140131	closed
chr1	11700000	11799999	0.622864522242983	closed
chr1	11800000	11899999	0.24610274626281	closed
chr1	11900000	11999999	-0.116232888021203	open
chr1	12000000	12099999	-0.392480495781244	open
chr1	12100000	12199999	-0.539197336304659	open
chr1	12200000	12299999	-0.54560907805123	open
chr1	12300000	12399999	-0.676805019163593	open
chr1	12400000	12499999	-0.790340771091596	open
chr1	12500000	12599999	-0.766309426674259	open
chr1	12600000	12699999	-0.531580897765787	open
chr1	12700000	12799999	-0.0303726448983715	open
chr1	12800000	12899999	0.565691451124633	closed
chr1	12900000	12999999	1.06773549910115	closed
chr1	13000000	13099999	1.40511619277731	closed
chr1	13100000	13199999	1.55421270888669	closed
chr1	13400000	13499999	1.63084402998378	closed
chr1	13500000	13599999	1.69963299379194	closed
chr1	13700000	13799999	1.65407271341448	closed
chr1	13800000	13899999	1.4354454880553	closed
chr1	13900000	13999999	1.05825366250528	closed
chr1	14000000	14099999	0.564381378560088	closed
chr1	14100000	14199999	0.0627770523221483	closed
chr1	14200000	14299999	-0.16445453660081	open
chr1	14300000	14399999	-0.204226314703034	open
chr1	14400000	14499999	-0.111726378250192	open
chr1	14500000	14599999	0.0845805730319798	closed
chr1	14600000	14699999	0.252584331536943	closed
chr1	14700000	14799999	0.400400496072065	closed
chr1	14800000	14899999	0.52854673704433	closed
chr1	14900000	14999999	0.636253224919012	closed
chr1	15000000	15099999	0.59418893698102	closed
chr1	15100000	15199999	0.36154395395096	closed
chr1	15200000	15299999	0.0416400180036084	closed
chr1	15300000	15399999	-0.389013510671295	open
chr1	15400000	15499999	-0.739833928710985	open
chr1	15500000	15599999	-0.852842602514893	open
chr1	15600000	15699999	-0.935782836932847	open
chr1	15700000	15799999	-0.859541140674988	open
chr1	15800000	15899999	-0.74314250045972	open
chr1	15900000	15999999	-0.773444303787491	open
chr1	16000000	16099999	-0.74760450199135	open
chr1	16100000	16199999	-0.720698067277725	open
chr1	16200000	16299999	-0.709992790340864	open
chr1	16300000	16399999	-0.587223200579561	open
chr1	16400000	16499999	-0.377505212804593	open
chr1	16500000	16599999	-0.284993525955135	open
chr1	16600000	16699999	-0.2682700955904	open
chr1	16700000	16799999	-0.332008443895455	open
chr1	16800000	16899999	-0.501934408099174	open
chr1	16900000	16999999	-0.635019325884292	open
chr1	17000000	17099999	-0.686747891110811	open
chr1	17200000	17299999	-0.65309059854827	open
chr1	17300000	17399999	-0.66341776745618	open
chr1	17400000	17499999	-0.572326151476386	open
chr1	17500000	17599999	-0.508034965658643	open
chr1	17600000	17699999	-0.535931712183241	open
