chr	start	end	eigen	domain
chr1	0	99999	-0.0169942196627428	open
chr1	500000	599999	0.284187220290039	closed
chr1	600000	699999	0.270896500575229	closed
chr1	700000	799999	0.230721410871285	closed
chr1	800000	899999	-0.0935819424135887	open
chr1	900000	999999	-0.359455399070636	open
chr1	1000000	1099999	-0.597298862783855	open
chr1	1100000	1199999	-0.604993572255492	open
chr1	1200000	1299999	-0.476079129131989	open
chr1	1300000	1399999	-0.297130979597251	open
chr1	1400000	1499999	-0.160909210908931	open
chr1	1500000	1599999	-0.20422744145437	open
chr1	1600000	1699999	-0.224170912574928	open
chr1	1700000	1799999	-0.338933922532125	open
chr1	1800000	1899999	-0.406482533090902	open
chr1	1900000	1999999	-0.448368070027044	open
chr1	2000000	2099999	-0.52832678719506	open
chr1	2100000	2199999	-0.529663946543125	open
chr1	2200000	2299999	-0.529614572978538	open
chr1	2300000	2399999	-0.494263778440214	open
chr1	2400000	2499999	-0.297636795746667	open
chr1	2500000	2599999	-0.0430493398939722	open
chr1	2600000	2699999	0.317552400069365	closed
chr1	2700000	2799999	0.822399336746624	closed
chr1	2800000	2899999	1.17540050794414	closed
chr1	2900000	2999999	1.44213704030658	closed
chr1	3000000	3099999	1.54392813143823	closed
chr1	3100000	3199999	1.31915973678089	closed
chr1	3200000	3299999	1.00657816023459	closed
chr1	3300000	3399999	0.589323910234377	closed
chr1	3400000	3499999	0.133001789978598	closed
chr1	3500000	3599999	-0.109748775333065	open
chr1	3600000	3699999	-0.203819909357374	open
chr1	3700000	3799999	-0.0723190476892012	open
chr1	3800000	3899999	0.314619019682729	closed
chr1	4000000	4099999	0.806787616313403	closed
chr1	4100000	4199999	1.32387623913305	closed
chr1	4200000	4299999	1.66501219388452	closed
chr1	4300000	4399999	1.82647196735566	closed
chr1	4400000	4499999	1.77159384328404	closed
chr1	4500000	4599999	1.59683403919696	closed
chr1	4600000	4699999	1.53106600034721	closed
chr1	4700000	4799999	1.47573297270871	closed
chr1	4800000	4899999	1.57032477401454	closed
chr1	4900000	4999999	1.74574422650568	closed
chr1	5000000	5099999	1.82257038277663	closed
chr1	5100000	5199999	1.88357344259414	closed
chr1	5200000	5299999	1.81359915117042	closed
chr1	5300000	5399999	1.69533781990735	closed
chr1	5400000	5499999	1.65783565009326	closed
chr1	5500000	5599999	1.58964679175989	closed
chr1	5600000	5699999	1.58996511734759	closed
chr1	5700000	5799999	1.45013101531091	closed
chr1	5800000	5899999	1.13216638548099	closed
chr1	5900000	5999999	0.818973337169675	closed
chr1	6000000	6099999	0.36691997108208	closed
chr1	6100000	6199999	0.057372307114221	closed
chr1	6200000	6299999	-0.194286239362949	open
chr1	6300000	6399999	-0.46426490584768	open
chr1	6400000	6499999	-0.660210562831936	open
chr1	6500000	6599999	-0.791124218578067	open
chr1	6600000	6699999	-0.766906121116694	open
chr1	6700000	6799999	-0.690067051189171	open
chr1	6800000	6899999	-0.477520815832921	open
chr1	6900000	6999999	-0.258219627405147	open
chr1	7000000	7099999	-0.0234151923346311	open
chr1	7100000	7199999	0.30981105362297	closed
chr1	7200000	7299999	0.59450350777411	closed
chr1	7300000	7399999	0.84048288637015	closed
chr1	7400000	7499999	0.996226818585862	closed
chr1	7500000	7599999	1.05573744834457	closed
chr1	7600000	7699999	1.04704172434894	closed
chr1	7700000	7799999	0.901786711016476	closed
chr1	7800000	7899999	0.687077612836958	closed
chr1	7900000	7999999	0.370983617432307	closed
chr1	8000000	8099999	-0.0164200056799024	open
chr1	8100000	8199999	-0.316511058146897	open
chr1	8200000	8299999	-0.553003774253878	open
chr1	8300000	8399999	-0.686053071850081	open
chr1	8400000	8499999	-0.674574062302897	open
chr1	8500000	8599999	-0.613176077747792	open
chr1	8600000	8699999	-0.563244136048959	open
chr1	8700000	8799999	-0.485132227733072	open
chr1	8800000	8899999	-0.447982726326618	open
chr1	8900000	8999999	-0.464274782908636	open
chr1	9000000	9099999	-0.522354055909236	open
chr1	9100000	9199999	-0.622608282405232	open
chr1	9200000	9299999	-0.779179641103113	open
chr1	9300000	9399999	-0.931764361643883	open
chr1	9400000	9499999	-0.989719283258031	open
chr1	9500000	9599999	-0.991597102277943	open
chr1	9600000	9699999	-0.902001490290443	open
chr1	9700000	9799999	-0.768899546282206	open
chr1	9800000	9899999	-0.657436847765611	open
chr1	9900000	9999999	-0.64880052693928	open
chr1	10000000	10099999	-0.698584144849357	open
chr1	10100000	10199999	-0.742200948264111	open
chr1	10200000	10299999	-0.785112826879014	open
chr1	10300000	10399999	-0.748258236920239	open
chr1	10400000	10499999	-0.696533480363422	open
chr1	10500000	10599999	-0.624447466317487	open
chr1	10600000	10699999	-0.566150679605872	open
chr1	10700000	10799999	-0.549108656017136	open
chr1	10800000	10899999	-0.491166307706407	open
chr1	10900000	10999999	-0.497539331537208	open
chr1	11000000	11099999	-0.50244097534011	open
chr1	11100000	11199999	-0.464515454599996	open
chr1	11200000	11299999	-0.485953552382069	open
chr1	11300000	11399999	-0.572359665813694	open
chr1	11400000	11499999	-0.667488526420305	open
chr1	11500000	11599999	-0.780115490423174	open
chr1	11600000	11699999	-0.848028174949023	open
chr1	11700000	11799999	-0.804930370652685	open
chr1	11800000	11899999	-0.763336866323479	open
chr1	11900000	11999999	-0.652048475470984	open
chr1	12000000	12099999	-0.555797979098763	open
chr1	12100000	12199999	-0.493955370226914	open
chr1	12200000	12299999	-0.469002402841262	open
chr1	12300000	12399999	-0.615963054196269	open
chr1	12400000	12499999	-0.817654758575194	open
chr1	12500000	12599999	-0.879455196421234	open
chr1	12600000	12699999	-0.655396760507395	open
chr1	12700000	12799999	-0.107730077357474	open
chr1	12800000	12899999	0.682519179528579	closed
chr1	12900000	12999999	1.3971244557021	closed
chr1	13000000	13099999	1.88352404167297	closed
chr1	13100000	13199999	2.12145111007009	closed
chr1	13400000	13499999	2.16331844488537	closed
chr1	13500000	13599999	2.13337663565215	closed
chr1	13700000	13799999	2.0094460776285	closed
chr1	13800000	13899999	1.77454456809651	closed
chr1	13900000	13999999	1.36523829941916	closed
chr1	14000000	14099999	0.857225850672563	closed
chr1	14100000	14199999	0.331745596446848	closed
chr1	14200000	14299999	-0.0582233307641894	open
chr1	14300000	14399999	-0.325772741442691	open
chr1	14400000	14499999	-0.557129024563491	open
chr1	14500000	14599999	-0.696686303127263	open
chr1	14600000	14699999	-0.874997517820289	open
chr1	14700000	14799999	-0.967719892120905	open
chr1	14800000	14899999	-0.963567230126301	open
chr1	14900000	14999999	-0.926513868569227	open
chr1	15000000	15099999	-0.845468872371758	open
chr1	15100000	15199999	-0.776397654823948	open
chr1	15200000	15299999	-0.701457192816158	open
chr1	15300000	15399999	-0.683736016069224	open
chr1	15400000	15499999	-0.65808222495508	open
chr1	15500000	15599999	-0.607857002550867	open
chr1	15600000	15699999	-0.589696419369201	open
chr1	15700000	15799999	-0.518403540382466	open
chr1	15800000	15899999	-0.496082318357136	open
chr1	15900000	15999999	-0.531820553132381	open
chr1	16000000	16099999	-0.545557142766463	open
chr1	16100000	16199999	-0.595861193847243	open
chr1	16200000	16299999	-0.577771444545044	open
chr1	16300000	16399999	-0.575557148849555	open
chr1	16400000	16499999	-0.698903288441118	open
chr1	16500000	16599999	-0.840058781480312	open
