chr	start	end	eigen	domain
chr1	0	99999	-0.332299376402118	open
chr1	500000	599999	0.0796693379541407	closed
chr1	600000	699999	0.190787085621547	closed
chr1	700000	799999	0.400496323452727	closed
chr1	800000	899999	0.2958113214053	closed
chr1	900000	999999	0.141098855942731	closed
chr1	1000000	1099999	-0.179602530940176	open
chr1	1100000	1199999	-0.45395661264677	open
chr1	1200000	1299999	-0.62579544284361	open
chr1	1300000	1399999	-0.641028840798659	open
chr1	1400000	1499999	-0.592753816222523	open
chr1	1500000	1599999	-0.634459627956032	open
chr1	1600000	1699999	-0.572115863333348	open
chr1	1700000	1799999	-0.608067370098126	open
chr1	1800000	1899999	-0.485015707472226	open
chr1	1900000	1999999	-0.276804997638025	open
chr1	2000000	2099999	-0.155926348370296	open
chr1	2100000	2199999	-0.0337003833683754	open
chr1	2200000	2299999	-0.11231509138197	open
chr1	2300000	2399999	-0.214359153805948	open
chr1	2400000	2499999	-0.226063876594623	open
chr1	2500000	2599999	-0.171727071295816	open
chr1	2600000	2699999	0.0273704502584819	closed
chr1	2700000	2799999	0.302550201092492	closed
chr1	2800000	2899999	0.502114727322737	closed
chr1	2900000	2999999	0.602928396823638	closed
chr1	3000000	3099999	0.580677265255083	closed
chr1	3100000	3199999	0.437178733226944	closed
chr1	3200000	3299999	0.315635843978618	closed
chr1	3300000	3399999	0.235998543789569	closed
chr1	3400000	3499999	0.200512416571384	closed
chr1	3500000	3599999	0.125304847518706	closed
chr1	3600000	3699999	0.0602720986452412	closed
chr1	3700000	3799999	0.0657931016674164	closed
chr1	3800000	3899999	0.193738322402319	closed
chr1	4000000	4099999	0.516661403756164	closed
chr1	4100000	4199999	0.86273693722091	closed
chr1	4200000	4299999	1.15796657180289	closed
chr1	4300000	4399999	1.33949868548491	closed
chr1	4400000	4499999	1.39479842812014	closed
chr1	4500000	4599999	1.42144493036107	closed
chr1	4600000	4699999	1.44800276051813	closed
chr1	4700000	4799999	1.47800817648851	closed
chr1	4800000	4899999	1.55714461349913	closed
chr1	4900000	4999999	1.63204552875341	closed
chr1	5000000	5099999	1.63270607456875	closed
chr1	5100000	5199999	1.6076365112105	closed
chr1	5200000	5299999	1.43306545332998	closed
chr1	5300000	5399999	1.25458245036492	closed
chr1	5400000	5499999	1.18859169495123	closed
chr1	5500000	5599999	1.11790095036527	closed
chr1	5600000	5699999	1.1741173532968	closed
chr1	5700000	5799999	1.06094683727749	closed
chr1	5800000	5899999	0.745342387046034	closed
chr1	5900000	5999999	0.3976934246006	closed
chr1	6000000	6099999	-0.0529127976974567	open
chr1	6100000	6199999	-0.346702043827694	open
chr1	6200000	6299999	-0.491213674826469	open
chr1	6300000	6399999	-0.58906517777467	open
chr1	6400000	6499999	-0.647912155340768	open
chr1	6500000	6599999	-0.678667518360078	open
chr1	6600000	6699999	-0.708819740575116	open
chr1	6700000	6799999	-0.764518141050005	open
chr1	6800000	6899999	-0.682281288120002	open
chr1	6900000	6999999	-0.560536702578077	open
chr1	7000000	7099999	-0.345444263903816	open
chr1	7100000	7199999	-0.0282677632882311	open
chr1	7200000	7299999	0.188524010477826	closed
chr1	7300000	7399999	0.347604994689841	closed
chr1	7400000	7499999	0.409525182222349	closed
chr1	7500000	7599999	0.444298910444815	closed
chr1	7600000	7699999	0.414272684997354	closed
chr1	7700000	7799999	0.346480359747031	closed
chr1	7800000	7899999	0.179103920174459	closed
chr1	7900000	7999999	-0.120756103217827	open
chr1	8000000	8099999	-0.366864870024476	open
chr1	8100000	8199999	-0.597530074549422	open
chr1	8200000	8299999	-0.754287404501866	open
chr1	8300000	8399999	-0.864772083686162	open
chr1	8400000	8499999	-1.01138447622716	open
chr1	8500000	8599999	-1.1529528372432	open
chr1	8600000	8699999	-1.24770914831401	open
chr1	8700000	8799999	-1.27991651910732	open
chr1	8800000	8899999	-1.14457784705511	open
chr1	8900000	8999999	-0.974961170223274	open
chr1	9000000	9099999	-0.768089665035426	open
chr1	9100000	9199999	-0.567989024968599	open
chr1	9200000	9299999	-0.527851752383681	open
chr1	9300000	9399999	-0.460864123273039	open
chr1	9400000	9499999	-0.498406861727875	open
chr1	9500000	9599999	-0.513385068191099	open
chr1	9600000	9699999	-0.535885605753109	open
chr1	9700000	9799999	-0.645854404817105	open
chr1	9800000	9899999	-0.710856288264299	open
chr1	9900000	9999999	-0.834223524695345	open
chr1	10000000	10099999	-0.916077619670961	open
chr1	10100000	10199999	-0.975524207980494	open
chr1	10200000	10299999	-1.03126298235537	open
chr1	10300000	10399999	-1.06146503515077	open
chr1	10400000	10499999	-1.07881095730198	open
chr1	10500000	10599999	-1.05300628513555	open
chr1	10600000	10699999	-0.93627241077048	open
chr1	10700000	10799999	-0.781833203792134	open
chr1	10800000	10899999	-0.559588522231691	open
chr1	10900000	10999999	-0.361595841948446	open
chr1	11000000	11099999	-0.319151346441201	open
chr1	11100000	11199999	-0.316675772279942	open
chr1	11200000	11299999	-0.29449951883889	open
chr1	11300000	11399999	-0.147935837646631	open
chr1	11400000	11499999	0.155942931091503	closed
chr1	11500000	11599999	0.471037246497908	closed
chr1	11600000	11699999	0.544980926433736	closed
chr1	11700000	11799999	0.360205358081193	closed
chr1	11800000	11899999	-0.0299013603688223	open
chr1	11900000	11999999	-0.382295746096714	open
chr1	12000000	12099999	-0.522396670022296	open
chr1	12100000	12199999	-0.542659840886562	open
chr1	12200000	12299999	-0.460039597384741	open
chr1	12300000	12399999	-0.515304398271205	open
chr1	12400000	12499999	-0.682763328529727	open
chr1	12500000	12599999	-0.68090280693136	open
chr1	12600000	12699999	-0.473774163501189	open
chr1	12700000	12799999	0.0421509761401534	closed
chr1	12800000	12899999	0.757401026709481	closed
chr1	12900000	12999999	1.36540111912336	closed
chr1	13000000	13099999	1.80349540189098	closed
chr1	13100000	13199999	1.97772464523609	closed
chr1	13400000	13499999	1.95921395039924	closed
chr1	13500000	13599999	1.84821399325759	closed
chr1	13700000	13799999	1.60912602904815	closed
chr1	13800000	13899999	1.33747812484412	closed
chr1	13900000	13999999	0.997330799483714	closed
chr1	14000000	14099999	0.631848380940029	closed
chr1	14100000	14199999	0.368561390950889	closed
chr1	14200000	14299999	0.191668020691633	closed
chr1	14300000	14399999	0.191027169390906	closed
chr1	14400000	14499999	0.218801451851086	closed
chr1	14500000	14599999	0.175057474512519	closed
chr1	14600000	14699999	0.0631985498008078	closed
chr1	14700000	14799999	-0.164377523848796	open
chr1	14800000	14899999	-0.364323159499939	open
chr1	14900000	14999999	-0.473984568717392	open
chr1	15000000	15099999	-0.539476168778767	open
chr1	15100000	15199999	-0.606719054342663	open
chr1	15200000	15299999	-0.626588576426853	open
chr1	15300000	15399999	-0.719300831220396	open
chr1	15400000	15499999	-0.767765405020382	open
chr1	15500000	15599999	-0.704727205487924	open
chr1	15600000	15699999	-0.703175407625235	open
chr1	15700000	15799999	-0.644171309754867	open
chr1	15800000	15899999	-0.621282221244888	open
chr1	15900000	15999999	-0.711429582820936	open
chr1	16100000	16199999	-0.742273878329976	open
chr1	16200000	16299999	-0.786350368110222	open
chr1	16300000	16399999	-0.819244012809279	open
chr1	16400000	16499999	-0.813572352030095	open
chr1	16500000	16599999	-0.880476249913236	open
chr1	16600000	16699999	-0.963340820232433	open
chr1	16700000	16799999	-1.04540169835369	open
chr1	16800000	16899999	-1.03957817399181	open
chr1	16900000	16999999	-1.00814387120324	open
chr1	17000000	17099999	-0.940203251208639	open
chr1	17200000	17299999	-0.869644514580904	open
chr1	17300000	17399999	-0.859495370077017	open
chr1	17400000	17499999	-0.725712931972509	open
chr1	17500000	17599999	-0.576048377314092	open
chr1	17600000	17699999	-0.418909209542698	open
chr1	17700000	17799999	-0.269813755808822	open
chr1	17800000	17899999	-0.236485262455981	open
chr1	17900000	17999999	-0.124159727184934	open
chr1	18000000	18099999	0.0174125256806022	closed
chr1	18100000	18199999	0.231125704065779	closed
chr1	18200000	18299999	0.472784237821441	closed
chr1	18300000	18399999	0.611761566665934	closed
chr1	18400000	18499999	0.783627212615629	closed
chr1	18500000	18599999	0.883211549394339	closed
chr1	18600000	18699999	0.893001536971855	closed
chr1	18700000	18799999	0.855309702255513	closed
chr1	18800000	18899999	0.715776269344404	closed
chr1	18900000	18999999	0.540498920331823	closed
chr1	19000000	19099999	0.400973973341896	closed
chr1	19100000	19199999	0.253816638300907	closed
chr1	19200000	19299999	0.00679739945668599	closed
chr1	19300000	19399999	-0.332408850566107	open
chr1	19400000	19499999	-0.629912819720953	open
chr1	19500000	19599999	-0.905728752123914	open
chr1	19600000	19699999	-0.963912475690853	open
chr1	19700000	19799999	-0.87413480156405	open
chr1	19800000	19899999	-0.818615084079563	open
chr1	19900000	19999999	-0.743072128188769	open
chr1	20000000	20099999	-0.736765825335902	open
chr1	20100000	20199999	-0.615230652059742	open
chr1	20200000	20299999	-0.329998358491031	open
chr1	20300000	20399999	0.0824718828797984	closed
chr1	20400000	20499999	0.487135235688407	closed
chr1	20500000	20599999	0.663316053954456	closed
chr1	20600000	20699999	0.603548462187566	closed
chr1	20700000	20799999	0.360420510114832	closed
chr1	20800000	20899999	0.0550282520226247	closed
chr1	20900000	20999999	-0.1809865218181	open
chr1	21000000	21099999	-0.320634563009297	open
