chr	start	end	eigen	domain
chr1	0	99999	-0.869771293891572	open
chr1	500000	599999	-0.411183078761805	open
chr1	600000	699999	-0.308354784435496	open
chr1	700000	799999	-0.0549013175441306	open
chr1	800000	899999	-0.0513595536185226	open
chr1	900000	999999	-0.051360034070539	open
chr1	1000000	1099999	-0.104555116620709	open
chr1	1100000	1199999	-0.184338968912216	open
chr1	1200000	1299999	-0.187707813666728	open
chr1	1300000	1399999	-0.210152546524413	open
chr1	1400000	1499999	-0.222866203323479	open
chr1	1500000	1599999	-0.269030010825285	open
chr1	1600000	1699999	-0.289452321452195	open
chr1	1700000	1799999	-0.341969312181892	open
chr1	1800000	1899999	-0.367511845012176	open
chr1	1900000	1999999	-0.373266536573367	open
chr1	2000000	2099999	-0.402003426953598	open
chr1	2100000	2199999	-0.374606276712428	open
chr1	2200000	2299999	-0.359192533035291	open
chr1	2300000	2399999	-0.345796430137041	open
chr1	2400000	2499999	-0.355321739005346	open
chr1	2500000	2599999	-0.372976769392795	open
chr1	2600000	2699999	-0.432235989979779	open
chr1	2700000	2799999	-0.479700846071113	open
chr1	2800000	2899999	-0.448974561509963	open
chr1	2900000	2999999	-0.381162828176772	open
chr1	3000000	3099999	-0.26311954092014	open
chr1	3100000	3199999	-0.0832281053264759	open
chr1	3200000	3299999	0.0456718442275093	closed
chr1	3300000	3399999	0.098852313723841	closed
chr1	3400000	3499999	0.137087273908599	closed
chr1	3500000	3599999	0.051182938682482	closed
chr1	3600000	3699999	-0.0617438599822592	open
chr1	3700000	3799999	-0.168749075996141	open
chr1	3800000	3899999	-0.31907182468714	open
chr1	4000000	4099999	-0.425758683352611	open
chr1	4100000	4199999	-0.485589861717295	open
chr1	4200000	4299999	-0.514133404461613	open
chr1	4300000	4399999	-0.464456684476914	open
chr1	4400000	4499999	-0.366550554552914	open
chr1	4500000	4599999	-0.292691449688239	open
chr1	4600000	4699999	-0.189194294280538	open
chr1	4700000	4799999	-0.227616386168838	open
chr1	4800000	4899999	-0.350019993140162	open
chr1	4900000	4999999	-0.507292265101173	open
chr1	5000000	5099999	-0.74444978327284	open
chr1	5100000	5199999	-0.788776433529548	open
chr1	5200000	5299999	-0.787968084923223	open
chr1	5300000	5399999	-0.709629038998596	open
chr1	5400000	5499999	-0.541981006814574	open
chr1	5500000	5599999	-0.480347168259193	open
chr1	5600000	5699999	-0.418305892725276	open
chr1	5700000	5799999	-0.378936575566807	open
chr1	5800000	5899999	-0.430767896615116	open
chr1	5900000	5999999	-0.481335054151661	open
chr1	6000000	6099999	-0.522375142652583	open
chr1	6100000	6199999	-0.572923490956341	open
chr1	6200000	6299999	-0.557921526285217	open
chr1	6300000	6399999	-0.528305818372056	open
chr1	6400000	6499999	-0.493886405663146	open
chr1	6500000	6599999	-0.494409223774746	open
chr1	6600000	6699999	-0.476487690583931	open
chr1	6700000	6799999	-0.424994311572631	open
chr1	6800000	6899999	-0.386360891088277	open
chr1	6900000	6999999	-0.342612569333144	open
chr1	7000000	7099999	-0.323615499808521	open
chr1	7100000	7199999	-0.352906681196253	open
chr1	7200000	7299999	-0.366035673559421	open
chr1	7300000	7399999	-0.320385709127518	open
chr1	7400000	7499999	-0.29468230286768	open
chr1	7500000	7599999	-0.25234290855045	open
chr1	7600000	7699999	-0.152535581467099	open
chr1	7700000	7799999	-0.0981236547087622	open
chr1	7800000	7899999	-0.0836505963991044	open
chr1	7900000	7999999	-0.0747594838186405	open
chr1	8000000	8099999	-0.205028498728715	open
chr1	8200000	8299999	-0.349825336095771	open
chr1	8300000	8399999	-0.440640775201359	open
chr1	8400000	8499999	-0.55064888026772	open
chr1	8500000	8599999	-0.567947598960545	open
chr1	8600000	8699999	-0.520870891699558	open
chr1	8700000	8799999	-0.452922962334641	open
chr1	8800000	8899999	-0.302263043991365	open
