chr	start	end	eigen	domain
chr1	0	99999	0.0690921740067616	closed
chr1	500000	599999	-0.0773582497829729	open
chr1	600000	699999	-0.0875481649731354	open
chr1	700000	799999	-0.0742581871471248	open
chr1	800000	899999	-0.0926165741956285	open
chr1	900000	999999	-0.041442083232708	open
chr1	1000000	1099999	-0.104202067794412	open
chr1	1100000	1199999	-0.271503688906298	open
chr1	1200000	1299999	-0.464880830311054	open
chr1	1300000	1399999	-0.594096005093048	open
chr1	1400000	1499999	-0.685476837725507	open
chr1	1500000	1599999	-0.7536894884962	open
chr1	1600000	1699999	-0.640270499998055	open
chr1	1700000	1799999	-0.551815276532193	open
chr1	1800000	1899999	-0.427830651391566	open
chr1	1900000	1999999	-0.295286168342334	open
chr1	2000000	2099999	-0.309008495683416	open
chr1	2100000	2199999	-0.356515353161849	open
chr1	2200000	2299999	-0.28228212495672	open
chr1	2300000	2399999	-0.0675880655597752	open
chr1	2400000	2499999	0.236805401542768	closed
chr1	2500000	2599999	0.57307583086144	closed
chr1	2600000	2699999	0.815809582331764	closed
chr1	2700000	2799999	0.981842757757368	closed
chr1	2800000	2899999	1.12501117197881	closed
chr1	2900000	2999999	1.19204390981893	closed
chr1	3000000	3099999	1.16782034772425	closed
chr1	3100000	3199999	0.930590063707462	closed
chr1	3200000	3299999	0.64456907990302	closed
chr1	3300000	3399999	0.326428743250037	closed
chr1	3400000	3499999	0.0811713042268116	closed
chr1	3500000	3599999	0.0342805995447358	closed
chr1	3600000	3699999	0.047993285019641	closed
chr1	3700000	3799999	0.228268761718369	closed
chr1	3800000	3899999	0.450004902543484	closed
chr1	4000000	4099999	0.772494708303962	closed
chr1	4100000	4199999	1.08156859468275	closed
chr1	4200000	4299999	1.29777142134725	closed
chr1	4300000	4399999	1.4663122401103	closed
chr1	4400000	4499999	1.47758858054413	closed
chr1	4500000	4599999	1.49644681723217	closed
chr1	4600000	4699999	1.52971212037963	closed
chr1	4700000	4799999	1.58680867878074	closed
chr1	4800000	4899999	1.67559501539102	closed
chr1	4900000	4999999	1.71969206041779	closed
chr1	5000000	5099999	1.70390713592098	closed
chr1	5100000	5199999	1.63876237368449	closed
chr1	5200000	5299999	1.52440463646304	closed
chr1	5300000	5399999	1.44052810351189	closed
chr1	5400000	5499999	1.42578961258186	closed
chr1	5500000	5599999	1.40509215062733	closed
chr1	5600000	5699999	1.43386933030397	closed
chr1	5700000	5799999	1.30355491040724	closed
chr1	5800000	5899999	1.03375552871169	closed
chr1	5900000	5999999	0.765035793575396	closed
chr1	6000000	6099999	0.422327709124137	closed
chr1	6100000	6199999	0.197099619294002	closed
chr1	6200000	6299999	0.0560764869376477	closed
chr1	6300000	6399999	-0.130034502938923	open
chr1	6400000	6499999	-0.353983618847149	open
chr1	6500000	6599999	-0.501266226480039	open
chr1	6600000	6699999	-0.630770601500382	open
chr1	6700000	6799999	-0.701675971102773	open
chr1	6800000	6899999	-0.481881499582831	open
chr1	6900000	6999999	-0.213897506230489	open
chr1	7000000	7099999	0.164725120418147	closed
chr1	7100000	7199999	0.612509667538117	closed
chr1	7200000	7299999	0.81411325207401	closed
chr1	7300000	7399999	0.877766367835929	closed
chr1	7400000	7499999	0.855582808272042	closed
chr1	7500000	7599999	0.791917893724338	closed
chr1	7600000	7699999	0.717332455449834	closed
chr1	7700000	7799999	0.648906477375812	closed
chr1	7800000	7899999	0.436856384236286	closed
chr1	7900000	7999999	0.121282470995262	closed
