chr	start	end	eigen	domain
chr1	0	99999	-0.362823267632792	open
chr1	500000	599999	-0.262936295996968	open
chr1	600000	699999	-0.189373673116199	open
chr1	700000	799999	-0.0616722644684352	open
chr1	800000	899999	-0.0628396782097047	open
chr1	900000	999999	-0.102272338264809	open
chr1	1000000	1099999	-0.28353270049667	open
chr1	1100000	1199999	-0.480698893765153	open
chr1	1200000	1299999	-0.63938124557251	open
chr1	1300000	1399999	-0.6785125098093	open
chr1	1400000	1499999	-0.707350431614202	open
chr1	1500000	1599999	-0.816389931303389	open
chr1	1600000	1699999	-0.811214442547184	open
chr1	1700000	1799999	-0.861780503782513	open
chr1	1800000	1899999	-0.824776747275514	open
chr1	1900000	1999999	-0.710945910564684	open
chr1	2000000	2099999	-0.720325651551322	open
chr1	2100000	2199999	-0.739995230850986	open
chr1	2200000	2299999	-0.745043423173339	open
chr1	2300000	2399999	-0.678345854169206	open
chr1	2400000	2499999	-0.508319872629941	open
chr1	2500000	2599999	-0.29189796821296	open
chr1	2600000	2699999	-0.0626321631806302	open
chr1	2700000	2799999	0.108815959126209	closed
chr1	2800000	2899999	0.260177780688038	closed
chr1	2900000	2999999	0.349395017929261	closed
chr1	3000000	3099999	0.375292522590787	closed
chr1	3100000	3199999	0.321686158257386	closed
chr1	3200000	3299999	0.190327137570343	closed
chr1	3300000	3399999	0.0494461178300162	closed
chr1	3400000	3499999	-0.117127027841011	open
chr1	3500000	3599999	-0.268947135921612	open
chr1	3600000	3699999	-0.317869911143858	open
chr1	3700000	3799999	-0.262650795869879	open
chr1	3800000	3899999	-0.105966567861735	open
chr1	4000000	4099999	0.236747876640805	closed
chr1	4100000	4199999	0.55618467634703	closed
chr1	4200000	4299999	0.801703056144214	closed
chr1	4300000	4399999	0.990576790907053	closed
chr1	4400000	4499999	1.01295787788829	closed
chr1	4500000	4599999	0.997249227601921	closed
chr1	4600000	4699999	0.99038319656211	closed
chr1	4700000	4799999	1.00480048825128	closed
chr1	4800000	4899999	1.04793495822948	closed
chr1	4900000	4999999	1.10942783526074	closed
chr1	5000000	5099999	1.12843814124884	closed
chr1	5100000	5199999	1.07337892091688	closed
chr1	5200000	5299999	0.979877944545999	closed
chr1	5300000	5399999	0.856318217044671	closed
chr1	5400000	5499999	0.793656975679721	closed
chr1	5500000	5599999	0.754614072635373	closed
chr1	5600000	5699999	0.749577645542034	closed
chr1	5700000	5799999	0.657669778287598	closed
chr1	5800000	5899999	0.432767628892064	closed
chr1	5900000	5999999	0.204657922809838	closed
chr1	6000000	6099999	-0.0678838110399475	open
chr1	6100000	6199999	-0.25302737558104	open
chr1	6200000	6299999	-0.326855007656955	open
chr1	6300000	6399999	-0.427162041754969	open
chr1	6400000	6499999	-0.537389945941967	open
chr1	6500000	6599999	-0.59378110561271	open
chr1	6600000	6699999	-0.676260323810192	open
chr1	6700000	6799999	-0.708701706048733	open
chr1	6800000	6899999	-0.569022019504786	open
chr1	6900000	6999999	-0.409030627417051	open
chr1	7000000	7099999	-0.14704866405909	open
chr1	7100000	7199999	0.171162301963759	closed
chr1	7200000	7299999	0.323499206222028	closed
chr1	7300000	7399999	0.389563826376613	closed
chr1	7400000	7499999	0.353889476448265	closed
chr1	7500000	7599999	0.269233595968581	closed
chr1	7600000	7699999	0.199111460384525	closed
chr1	7700000	7799999	0.165530077141075	closed
chr1	7800000	7899999	0.0375632217035298	closed
chr1	7900000	7999999	-0.156138364963299	open
chr1	8000000	8099999	-0.313648552874131	open
chr1	8100000	8199999	-0.518178588851269	open
chr1	8200000	8299999	-0.602047427040448	open
chr1	8300000	8399999	-0.708064866058617	open
chr1	8400000	8499999	-0.926787257301272	open
chr1	8500000	8599999	-1.16649536182613	open
chr1	8600000	8699999	-1.41617874170041	open
chr1	8700000	8799999	-1.53701060424226	open
chr1	8800000	8899999	-1.39921388411732	open
chr1	8900000	8999999	-1.11562559405769	open
chr1	9000000	9099999	-0.804271703227273	open
chr1	9100000	9199999	-0.536183000262221	open
chr1	9200000	9299999	-0.485343555853594	open
chr1	9300000	9399999	-0.541882140073894	open
chr1	9400000	9499999	-0.620264597404163	open
chr1	9500000	9599999	-0.692144963529298	open
chr1	9600000	9699999	-0.740275284295187	open
chr1	9700000	9799999	-0.798846081305638	open
chr1	9800000	9899999	-0.849258081920093	open
chr1	9900000	9999999	-0.935992025659828	open
chr1	10000000	10099999	-0.992031888980551	open
chr1	10100000	10199999	-1.06006220219497	open
chr1	10200000	10299999	-1.18675918978994	open
chr1	10300000	10399999	-1.3076275450466	open
chr1	10400000	10499999	-1.42572423480175	open
chr1	10500000	10599999	-1.49181891724827	open
chr1	10600000	10699999	-1.47491312606715	open
chr1	10700000	10799999	-1.37912912078287	open
chr1	10800000	10899999	-1.20571391914721	open
chr1	10900000	10999999	-0.954636192620207	open
chr1	11000000	11099999	-0.757530514185983	open
chr1	11100000	11199999	-0.636646761471922	open
chr1	11200000	11299999	-0.52824879921273	open
chr1	11300000	11399999	-0.447071129402617	open
chr1	11400000	11499999	-0.226995901539353	open
chr1	11500000	11599999	0.027151318449672	closed
chr1	11600000	11699999	0.156149767158547	closed
chr1	11700000	11799999	0.137679980870168	closed
chr1	11800000	11899999	-0.122004002564294	open
chr1	11900000	11999999	-0.372842372657323	open
chr1	12000000	12099999	-0.536742628498383	open
chr1	12100000	12199999	-0.663711269164729	open
chr1	12200000	12299999	-0.713931421073843	open
chr1	12300000	12399999	-0.864465225628806	open
chr1	12400000	12499999	-1.04848314608636	open
chr1	12500000	12599999	-1.02077267974056	open
chr1	12600000	12699999	-0.762287681452643	open
chr1	12700000	12799999	-0.278138447389601	open
chr1	12800000	12899999	0.281743737735912	closed
chr1	12900000	12999999	0.695186815618204	closed
chr1	13000000	13099999	0.944033141198698	closed
chr1	13100000	13199999	1.01961263310171	closed
chr1	13400000	13499999	1.07704920536346	closed
chr1	13500000	13599999	1.10026262430226	closed
chr1	13700000	13799999	1.04949261874605	closed
chr1	13800000	13899999	0.874579303732086	closed
chr1	13900000	13999999	0.531949487417492	closed
chr1	14000000	14099999	0.143135116456861	closed
chr1	14100000	14199999	-0.21246311969652	open
chr1	14200000	14299999	-0.340462636160922	open
chr1	14300000	14399999	-0.271602433348912	open
chr1	14400000	14499999	-0.118219251515209	open
chr1	14500000	14599999	0.0413679166385327	closed
chr1	14600000	14699999	0.101406347706147	closed
chr1	14700000	14799999	0.0149055229604953	closed
chr1	14800000	14899999	-0.117651883505553	open
chr1	14900000	14999999	-0.263938380354402	open
chr1	15000000	15099999	-0.426852449539272	open
chr1	15100000	15199999	-0.502197978693884	open
chr1	15200000	15299999	-0.53420548114896	open
chr1	15300000	15399999	-0.564570461436059	open
chr1	15400000	15499999	-0.552410322889774	open
chr1	15500000	15599999	-0.515481550179034	open
chr1	15600000	15699999	-0.551159296210071	open
chr1	15700000	15799999	-0.577513628642663	open
chr1	15800000	15899999	-0.622798575951148	open
chr1	15900000	15999999	-0.748471550131623	open
chr1	16000000	16099999	-0.829333722679357	open
chr1	16100000	16199999	-0.842196351642541	open
chr1	16200000	16299999	-0.834821945232202	open
chr1	16300000	16399999	-0.779676444402284	open
chr1	16400000	16499999	-0.719901881369745	open
chr1	16500000	16599999	-0.784224443066823	open
chr1	16600000	16699999	-0.85095515457209	open
chr1	16700000	16799999	-0.910460338257557	open
chr1	16800000	16899999	-0.90365706865393	open
chr1	16900000	16999999	-0.78059370570179	open
chr1	17000000	17099999	-0.710769173932927	open
chr1	17200000	17299999	-0.669047948440313	open
chr1	17300000	17399999	-0.612095363451915	open
chr1	17400000	17499999	-0.54975725771491	open
chr1	17500000	17599999	-0.442048813587116	open
chr1	17600000	17699999	-0.309567940822336	open
chr1	17700000	17799999	-0.328337190737964	open
chr1	17800000	17899999	-0.419356406541692	open
chr1	17900000	17999999	-0.390743756813697	open
chr1	18000000	18099999	-0.318606903741127	open
chr1	18100000	18199999	-0.0574365056187618	open
chr1	18200000	18299999	0.257195650242836	closed
chr1	18300000	18399999	0.466492607790974	closed
chr1	18400000	18499999	0.661526992812407	closed
chr1	18500000	18599999	0.766099585750457	closed
chr1	18600000	18699999	0.769366084451526	closed
chr1	18700000	18799999	0.682282630447731	closed
chr1	18800000	18899999	0.517235825435444	closed
chr1	18900000	18999999	0.292199031469102	closed
chr1	19000000	19099999	0.140773051466375	closed
chr1	19100000	19199999	0.0772995202370941	closed
chr1	19200000	19299999	-0.0527024808531879	open
chr1	19300000	19399999	-0.270812936161448	open
chr1	19400000	19499999	-0.545932114398237	open
chr1	19500000	19599999	-0.907959206193978	open
chr1	19600000	19699999	-1.07965730262706	open
chr1	19700000	19799999	-1.05941511626374	open
chr1	19800000	19899999	-1.00028048582902	open
chr1	19900000	19999999	-0.796065117668265	open
chr1	20000000	20099999	-0.678144809828397	open
chr1	20100000	20199999	-0.546466572469268	open
chr1	20200000	20299999	-0.264191076628509	open
chr1	20300000	20399999	-0.0557552355089254	open
chr1	20400000	20499999	0.202522511816574	closed
chr1	20500000	20599999	0.373228783286606	closed
chr1	20600000	20699999	0.323163231822485	closed
chr1	20700000	20799999	0.286020771264057	closed
chr1	20800000	20899999	0.116799124395866	closed
chr1	20900000	20999999	-0.16568396137392	open
chr1	21000000	21099999	-0.401967672480364	open
chr1	21100000	21199999	-0.747417178738878	open
chr1	21200000	21299999	-1.06164666721152	open
chr1	21300000	21399999	-1.25074517398949	open
chr1	21400000	21499999	-1.38783051828338	open
chr1	21500000	21599999	-1.3515519559978	open
chr1	21600000	21699999	-1.182544114346	open
chr1	21700000	21799999	-0.980567639663567	open
chr1	21800000	21899999	-0.811176276197067	open
chr1	21900000	21999999	-0.716624638144499	open
chr1	22000000	22099999	-0.742910537849875	open
chr1	22100000	22199999	-0.742251491309159	open
chr1	22200000	22299999	-0.753590182015023	open
chr1	22300000	22399999	-0.715496391466014	open
chr1	22400000	22499999	-0.57193138205104	open
chr1	22500000	22599999	-0.500798343830453	open
chr1	22600000	22699999	-0.348788158030349	open
chr1	22700000	22799999	-0.228073408267186	open
chr1	22800000	22899999	-0.158700698385616	open
chr1	22900000	22999999	-0.0989901861338701	open
chr1	23000000	23099999	-0.00520965971251604	open
chr1	23100000	23199999	-0.0206589071370422	open
chr1	23200000	23299999	-0.13136075199642	open
