chr	start	end	eigen	domain
chr1	0	99999	-0.925180701335819	open
chr1	500000	599999	-0.326292772968679	open
chr1	600000	699999	-0.110662253251685	open
chr1	700000	799999	0.346184761474746	closed
chr1	800000	899999	0.448612221265299	closed
chr1	900000	999999	0.551288051015996	closed
chr1	1000000	1099999	0.38841853437141	closed
chr1	1100000	1199999	0.0501464395917516	closed
chr1	1200000	1299999	-0.251648349628146	open
chr1	1300000	1399999	-0.44718198662437	open
chr1	1400000	1499999	-0.603562153849405	open
chr1	1500000	1599999	-0.704777048303003	open
chr1	1600000	1699999	-0.627792532823266	open
chr1	1700000	1799999	-0.587592126835893	open
chr1	1800000	1899999	-0.487741265866735	open
chr1	1900000	1999999	-0.382884574799593	open
chr1	2000000	2099999	-0.413447562223168	open
chr1	2100000	2199999	-0.430179112431962	open
chr1	2200000	2299999	-0.344786559924384	open
chr1	2300000	2399999	-0.209945997840552	open
chr1	2400000	2499999	0.032293765322049	closed
chr1	2500000	2599999	0.26367652140426	closed
chr1	2600000	2699999	0.452736312893919	closed
chr1	2700000	2799999	0.780206086021312	closed
chr1	2800000	2899999	1.02520077925544	closed
chr1	2900000	2999999	1.23080057284801	closed
chr1	3000000	3099999	1.28909404450386	closed
chr1	3100000	3199999	1.01288338376533	closed
chr1	3200000	3299999	0.728574374606668	closed
chr1	3300000	3399999	0.37136770987064	closed
chr1	3400000	3499999	0.117782806587785	closed
chr1	3500000	3599999	0.0664988254192611	closed
chr1	3600000	3699999	-0.0409096032214131	open
chr1	3700000	3799999	-0.0416552923335866	open
chr1	3800000	3899999	0.0187496869805109	closed
chr1	4000000	4099999	0.158885298632588	closed
chr1	4100000	4199999	0.403062285744909	closed
chr1	4200000	4299999	0.649168741128571	closed
chr1	4300000	4399999	0.840694059748181	closed
chr1	4400000	4499999	0.941024809833848	closed
chr1	4500000	4599999	1.04119819491863	closed
chr1	4600000	4699999	1.18318655620851	closed
chr1	4700000	4799999	1.29856047977207	closed
chr1	4800000	4899999	1.3525089645633	closed
chr1	4900000	4999999	1.39309287194467	closed
chr1	5000000	5099999	1.32004125661123	closed
chr1	5100000	5199999	1.27725299251777	closed
chr1	5200000	5299999	1.22351227341607	closed
chr1	5300000	5399999	1.14641676007793	closed
chr1	5400000	5499999	1.13971570580601	closed
chr1	5500000	5599999	1.06084288944745	closed
chr1	5600000	5699999	1.09340793509529	closed
chr1	5700000	5799999	0.977235353677062	closed
chr1	5800000	5899999	0.710687496194903	closed
chr1	5900000	5999999	0.429047307500541	closed
chr1	6000000	6099999	0.0245417717032741	closed
chr1	6100000	6199999	-0.237655148602546	open
chr1	6200000	6299999	-0.334721069587992	open
chr1	6300000	6399999	-0.372697221809363	open
chr1	6400000	6499999	-0.419601601400975	open
chr1	6500000	6599999	-0.381922005019454	open
chr1	6600000	6699999	-0.393945864442834	open
chr1	6700000	6799999	-0.418536282953448	open
chr1	6800000	6899999	-0.279196929929732	open
chr1	6900000	6999999	-0.162216803785014	open
chr1	7000000	7099999	-0.00556714281222906	open
chr1	7100000	7199999	0.172515253682677	closed
chr1	7200000	7299999	0.224148252023692	closed
chr1	7300000	7399999	0.199569226725981	closed
chr1	7400000	7499999	0.163283231590085	closed
chr1	7500000	7599999	0.151894079886916	closed
chr1	7600000	7699999	0.13609880288007	closed
chr1	7700000	7799999	0.115685933523994	closed
chr1	7800000	7899999	-0.0310031840280475	open
chr1	7900000	7999999	-0.226495709382651	open
chr1	8000000	8099999	-0.373774402083604	open
chr1	8100000	8199999	-0.527761051224446	open
chr1	8200000	8299999	-0.567985297669979	open
chr1	8300000	8399999	-0.662717121053946	open
chr1	8400000	8499999	-0.818407504193162	open
chr1	8500000	8599999	-0.969769567227354	open
chr1	8600000	8699999	-1.09821172598235	open
